size,mflop
31,2407.48
32,2937.16
96,3589.88
97,3588.72
127,3469.77
128,1708.62
129,3632.72
191,3031.61
192,1777.21
229,2916.44
255,2908.82
256,857.052
257,2923.03
319,2886.82
320,1642.74
321,2906.72
417,2793.72
479,2276.82
480,1722.05
511,2655.1
512,832.399
639,960.599
640,854.112
767,1077.63
768,832.222
769,1070.21
1023,1256.7
1024,828.203
1025,830.247
1525,1021.1
1526,1026.33
1527,1025.17
