size,mflop
31,4281.07
32,5161.1
96,6557.11
97,4925.01
127,4952.61
128,6132.94
129,5004.52
191,4807.09
192,6037.79
229,4618.91
255,4891.56
256,5914.92
257,4936.43
319,4790.6
320,5736.99
321,4790.03
417,4885.21
479,4945.73
480,5859.06
511,4953.76
512,5858.83
639,4992.27
640,5896.63
767,5022.21
768,5933.34
769,5009.45
1023,5031.4
1024,5631.25
1025,4820.17
1525,2526.78
1526,3412.58
1527,3119.97
