size,mflop
31,3584.72
32,4796.91
96,5666.86
97,4607.88
127,4511.02
128,5828.08
129,4698.83
191,4505.98
192,5726.32
229,4430.77
255,4548.3
256,5600.03
257,4667.45
319,4432.18
320,5379.59
321,4487.98
417,4556.47
479,4549.21
480,5495.08
511,4541.06
512,5497.71
639,4580.11
640,5546.08
767,4616.62
768,5562.4
769,4629.96
1023,4444.21
1024,5164.48
1025,4043.47
1525,1030.79
1526,2066.98
1527,1987.85
