size,mflop
31,6930.47
32,7399.43
96,9060.03
97,8917.7
127,9020.85
128,9030.29
129,9093.09
191,9122.39
192,9508.03
229,9451.86
255,9209.38
256,9391.21
257,9332.49
319,9309.16
320,9340.58
321,9263.47
417,9512.36
479,9608.21
480,9631.9
511,9495.08
512,9277.85
639,9035.17
640,9568.74
767,9615.52
768,9739.52
769,9678.79
1023,9720.44
1024,9546.12
1025,9293.7
1525,9716.03
1526,9967.04
1527,9944.52
