size,mflop
31,2781.7
32,3249.19
96,3674.08
97,3767.43
127,3687.97
128,1963.82
129,3688
191,2727.89
192,1945.15
229,2566.32
255,2541.63
256,944.47
257,2613.59
319,2561.78
320,1692.7
321,2603.13
417,2532
479,2183.31
480,1802.59
511,2546.15
512,932.899
639,1778.7
640,949.842
767,1690.04
768,940.201
769,1727.12
1023,594.45
1024,845.737
1025,1056.9
1525,827.431
1526,1064.93
1527,972.527
