size,mflop
31,1417.51
32,1326.11
96,1120.44
97,1661.64
127,1632.23
128,428.979
129,1599.85
191,1298.27
192,627.73
229,1256.01
255,1248.78
256,263.578
257,1244.21
319,650.121
320,605.197
321,798.591
417,640.806
479,638.234
480,617.26
511,610.893
512,195.575
639,490.923
640,371.775
767,232.246
768,261.043
769,630.091
1023,397.899
1024,158.792
1025,586.349
1525,494.568
1526,502.988
1527,494.374
