size,mflop
31,15585.8
32,19502.1
96,27953
97,27931.7
127,26361.3
128,28103.3
129,28235
191,29437.3
192,31627.6
229,31927.9
255,31471.8
256,32058
257,30175.8
319,31585
320,33357.2
321,32675.5
417,34627.2
479,34561.6
480,35015.7
511,33501.9
512,33548.5
639,34409.8
640,35244.9
767,34615.2
768,34298.5
769,33731.6
1023,33834.7
1024,33505.5
1025,33771.6
1525,36025.3
1526,35412.6
1527,36049.7
