size,mflop
31,2624.84
32,3181.98
96,3835.85
97,3818.01
127,3776.72
128,1746.64
129,3914.72
191,3796.88
192,1886.18
229,3879.71
255,3901.5
256,850.577
257,3956.71
319,3806.92
320,1872.06
321,3874.01
417,3753.72
479,2720.22
480,1943.89
511,3269.97
512,837.892
639,1915.24
640,858.853
767,1841.67
768,814.792
769,1831.69
1023,1529.51
1024,750.87
1025,1644.96
1525,1584.41
1526,1584.41
1527,1634.23
