size,mflop
31,1830.08
32,2316.93
96,2313.43
97,1934.76
127,1947.68
128,2179.1
129,1908.63
191,1860.59
192,2237.26
229,1797.03
255,1842.42
256,1570.77
257,1830.94
319,1549.78
320,1719.99
321,1562.56
417,1466.66
479,1397.15
480,1542.26
511,1745.09
512,1201.23
639,1360.76
640,1745.05
767,1767.38
768,1615.37
769,1652.75
1023,1823.31
1024,1179.05
1025,1676.68
1525,1375.41
1526,2074.44
1527,1731.84
