size,mflop
31,325.109
32,354.059
96,430.44
97,417.049
127,440.847
128,454.547
129,402.939
191,442.108
192,452.458
229,436.084
255,404.216
256,440.133
257,428.963
319,442.988
320,449.124
321,432.452
417,436.424
479,439.996
480,439.164
511,442.183
512,390.832
639,420.021
640,446.52
767,443.763
768,448.422
769,429.25
1023,440.466
1024,445.077
1025,445.455
1525,449.262
1526,450.192
1527,449.874
